#汉字	Unicode
芷	82B7
芮	82AE
莧	83A7
萇	8407
蓯	84EF
芩	82A9
芴	82B4
芡	82A1
芪	82AA
芟	829F
苄	82C4
苧	82E7
芤	82A4
苡	82E1
茉	8309
苷	82F7
苤	82E4
蘢	8622
茇	8307
苜	82DC
苴	82F4
苒	82D2
苘	82D8
茌	830C
苻	82FB
苓	82D3
蔦	8526
茚	831A
茆	8306
塋	584B
煢	7162
苠	82E0
苕	82D5
茜	831C
荑	8351
蕘	8558
蓽	84FD
茈	8308
莒	8392
茼	833C
茴	8334
茱	8331
莛	839B
蕎	854E
茯	832F
荏	834F
荇	8347
荃	8343
薈	8588
荀	8340
茗	8317
薺	85BA
茭	832D
茺	833A
茳	8333
犖	7296
滎	6ECE
蕁	8541
茛	831B
藎	85CE
蕒	8552
蓀	84C0
葒	8452
葤	8464
莰	83B0
荸	8378
蒔	8494
萵	8435
莠	83A0
莪	83AA
莓	8393
莜	839C
莅	8385
荼	837C
薟	859F
莩	83A9
荽	837D
蕕	8555
荻	837B
莘	8398
莞	839E
莨	83A8
鶯	9DAF
蒓	8493
菁	83C1
萁	8401
菥	83E5
菘	83D8
堇	5807
萘	8418
萋	840B
菝	83DD
菽	83FD
菖	83D6
萜	841C
萸	8438
萑	8411
萆	8406
菔	83D4
菟	83DF
萏	840F
萃	8403
菸	83F8
菹	83F9
菪	83EA
菅	83C5
菀	83C0
縈	7E08
菰	83F0
菡	83E1
葜	845C
葑	8451
葚	845A
葙	8459
葳	8473
蕆	8546
蒈	8488
葺	847A
蕢	8562
葸	8478
萼	843C
葆	8446
葩	8469
葶	8476
蔞	851E
蒎	848E
萱	8431
葭	846D
蓁	84C1
蓍	84CD
蓐	84D0
驀	9A40
蒽	84BD
蓓	84D3
蓊	84CA
蒿	84BF
蒺	84BA
蘺	863A
蒡	84A1
蒹	84B9
蒴	84B4
蒗	8497
鎣	93A3
蕷	8577
蔌	850C
甍	750D
蔸	8538
蓰	84F0
蘞	861E
蔟	851F
藺	85FA
蕖	8556
蔻	853B
蓿	84FF
蓼	84FC
蕙	8559
蕈	8548
蕨	8568
蕤	8564
蕞	855E
蕺	857A
瞢	77A2
蕃	8543
蘄	8604
蕻	857B
薤	85A4
薨	85A8
薇	8587
薏	858F
蕹	8579
藪	85EA
薜	859C
薅	8585
薹	85B9
薷	85B7
薰	85B0
蘚	861A
藁	85C1
藜	85DC
藿	85FF
蘧	8627
蘅	8605
蘩	8629
蘖	8616
蘼	863C
廾	5EFE
弈	5F08
夼	593C
奩	5969
耷	8037
奕	5955
奚	595A
奘	5958
匏	530F
尢	5C22
尥	5C25
尬	5C2C
尷	5C37
扌	624C
捫	636B
摶	6476
抻	62BB
拊	62CA
拚	62DA
拗	62D7
拮	62EE
撟	649F
拶	62F6
挹	6339
捋	634B
捃	6343
掭	63AD
揶	63F6
捱	6371
捺	637A
掎	638E
摑	6451
捭	636D
掬	63AC
掊	638A
捩	6369
掮	63AE
摜	645C
揲	63F2
揸	63F8
揠	63E0
撳	64B3
揄	63C4
揞	63DE
揎	63CE
摒	6452
揆	63C6
掾	63BE
攄	6504
摁	6441
搋	640B
搛	641B
搠	6420
搌	640C
搦	6426
搡	6421
摞	645E
攖	6516
摭	646D
撖	6496
摺	647A
擷	64F7
擼	64FC
撙	6499
攛	651B
擀	64C0
擐	64D0
擗	64D7
擤	64E4
擢	64E2
攉	6509
攥	6525
攮	652E
弋	5F0B
忒	5FD2
甙	7519
弑	5F11
卟	535F
叱	53F1
嘰	5630
叩	53E9
叨	53E8
叻	53FB
吒	5412
吖	5416
吆	5406
呋	544B
嘸	5638
囈	56C8
呔	5454
嚦	56A6
呃	5443
吡	5421
唄	5504
咼	54BC
吣	5423
吲	5432
咂	5482
咔	5494
呷	5477
呱	5471
呤	5464
咚	549A
嚀	5680
咄	5484
呶	5476
呦	5466
噝	565D
哐	54D0
咭	54AD
哂	54C2
咴	54B4
噠	5660
咧	54A7
咦	54A6
嘵	5635
嗶	55F6
呲	5472
咣	54A3
噦	5666
咻	54BB
咿	54BF
哌	54CC
噲	5672
哚	54DA
嚌	568C
咩	54A9
咪	54AA
咤	54A4
噥	5665
哏	54CF
哞	54DE
嘜	561C
哧	54E7
嘮	562E
哽	54FD
唔	5514
哳	54F3
嗩	55E9
唣	5523
唏	550F
唑	5511
唧	5527
唪	552A
嘖	5616
喏	558F
喵	55B5
啉	5549
囀	56C0
啁	5541
啕	5555
唿	553F
啐	5550
唼	553C
唷	5537
啖	5556
啵	5575
啶	5576
啷	5577
唳	5533
唰	5530
啜	555C
喋	558B
嗒	55D2
喃	5583
喱	55B1
喹	55B9
喈	5588
喁	5581
喟	559F
啾	557E
嗖	55D6
喑	5591
啻	557B
嗟	55DF
嘍	560D
嚳	56B3
喔	5594
喙	5599
嗪	55EA
嗷	55F7
嗉	55C9
嘟	561F
嗑	55D1
囁	56C1
嗬	55EC
嗔	55D4
嗦	55E6
嗝	55DD
嗄	55C4
嗯	55EF
嗥	55E5
嗲	55F2
噯	566F
嗌	55CC
嗍	55CD
嗨	55E8
嗵	55F5
嗤	55E4
轡	8F61
嘞	561E
嘈	5608
嘌	560C
嘁	5601
嚶	56B6
嘣	5623
嗾	55FE
嘀	5600
嘧	5627
嘭	562D
噘	5658
嘹	5639
噗	5657
嘬	562C
噍	564D
噢	5662
噙	5659
嚕	5695
噌	564C
噔	5654
嚆	5686
噤	5664
噱	5671
噫	566B
噻	567B
噼	567C
嚅	5685
嚓	5693
嚯	56AF
囔	56D4
囗	56D7
囝	56DD
囡	56E1
圇	5707
囫	56EB
囹	56F9
囿	56FF
圄	5704
圊	570A
圉	5709
圜	571C
幃	5E43
帙	5E19
帔	5E14
帑	5E11
幬	5E6C
幘	5E58
幗	5E57
帷	5E37
幄	5E44
幔	5E54
幛	5E5B
幞	5E5E
幡	5E61
岌	5C8C
屺	5C7A
岍	5C8D
岐	5C90
嶇	5D87
岈	5C88
峴	5CF4
岙	5C99
岑	5C91
嵐	5D50
岜	5C9C
岵	5CB5
岢	5CA2
崬	5D2C
岬	5CAC
岫	5CAB
岱	5CB1
岣	5CA3
峁	5CC1
岷	5CB7
嶧	5DA7
峒	5CD2
嶠	5DA0
峋	5CCB
峥	5CE5
嶗	5D97
崍	5D0D
崧	5D27
崦	5D26
崮	5D2E
崤	5D24
崞	5D1E
崆	5D06
崛	5D1B
嶸	5DB8
崾	5D3E
崴	5D34
崽	5D3D
嵬	5D6C
嵛	5D5B
嵯	5D6F
嶁	5D81
嵫	5D6B
嵋	5D4B
嵊	5D4A
嵩	5D69
嵴	5D74
嶂	5D82
嶙	5D99
嶝	5D9D
豳	8C73
嶷	5DB7
巔	5DD4
彳	5F73
彷	5F77
徂	5F82
徇	5F87
徉	5F89
后	540E
徠	5FA0
徙	5F99
徜	5F9C
徨	5FA8
徭	5FAD
征	5F81
徼	5FBC
衢	8862
彡	5F61
犭	72AD
犰	72B0
犴	72B4
獷	7377
獁	7341
狃	72C3
狁	72C1
狎	72CE
狍	72CD
狒	72D2
狨	72E8
獪	736A
狩	72E9
猻	733B
狴	72F4
狷	72F7
猁	7301
狳	72F3
獫	736B
狺	72FA
狻	72FB
猗	7317
猓	7313
玀	7380
猊	730A
猞	731E
猝	731D
獼	737C
猢	7322
猹	7339
猥	7325
猬	732C
猸	7338
猱	7331
獐	7350
獍	734D
獗	7357
獠	7360
獬	736C
獯	736F
獾	737E
舛	821B
夥	5925
飧	98E7
夤	5924
夂	5902
飠	98E0
餳	9933
飩	98E9
餼	993C
飪	98EA
飫	98EB
飭	98ED
飴	98F4
餉	9909
餑	9911
余	4F59
餛	991B
餷	9937
餿	993F
饃	9943
饈	9948
饉	9949
饊	994A
饌	994C
饢	9962
庀	5E80
廡	5EE1
庋	5E8B
庖	5E96
庥	5EA5
庠	5EA0
庹	5EB9
庵	5EB5
庾	5EBE
庳	5EB3
賡	8CE1
廒	5ED2
廑	5ED1
廛	5EDB
廨	5EE8
廪	5EEA
膺	81BA
忄	5FC4
忉	5FC9
忖	5FD6
懺	61FA
憮	61AE
忮	5FEE
慪	616A
忡	5FE1
忤	5FE4
愾	613E
悵	60B5
愴	6134
忪	5FEA
忭	5FED
忸	5FF8
怙	6019
怵	6035
怦	6026
怛	601B
怏	600F
怍	600D
怩	6029
怫	602B
怊	600A
懌	61CC
怡	6021
慟	615F
懨	61E8
惻	60FB
愷	6137
恂	6042
恪	606A
惲	60F2
悖	6096
悚	609A
慳	6173
悝	609D
悃	6083
悒	6092
悌	608C
悛	609B
愜	611C
悻	60BB
悱	60B1
惝	60DD
惘	60D8
惆	60C6
惚	60DA
悴	60B4
愠	6120
憒	6192
愕	6115
愣	6123
惴	60F4
愀	6100
愎	610E
愫	612B
慊	614A
慵	6175
憬	61AC
憔	6194
憧	61A7
憷	61B7
懔	61D4
懵	61F5
忝	5FDD
隳	96B3
閂	9582
閆	9586
闈	95C8
閎	958E
閔	9594
閌	958C
闥	95E5
閭	95AD
閫	95AB
鬮	9B2E
閬	95AC
閾	95BE
閶	95B6
鬩	9B29
閿	95BF
閽	95BD
閼	95BC
闃	95C3
闋	95CB
闔	95D4
闐	95D0
闕	95D5
闞	95DE
丬	4E2C
爿	723F
戕	6215
氵	6C35
汔	6C54
汜	6C5C
汊	6C4A
灃	7043
沅	6C85
沐	6C90
沔	6C94
沌	6C8C
汨	6C68
汩	6C69
汴	6C74
汶	6C76
沆	6C86
潙	6F59
泐	6CD0
泔	6CD4
沭	6CAD
瀧	7027
瀘	7018
泱	6CF1
泗	6CD7
沲	6CB2
泠	6CE0
泖	6CD6
濼	6FFC
泫	6CEB
泮	6CEE
沱	6CB1
泓	6CD3
泯	6CEF
涇	6D87
洹	6D39
洧	6D27
洌	6D0C
浹	6D79
湞	6E5E
洇	6D07
洄	6D04
洙	6D19
洎	6D0E
洫	6D2B
澮	6FAE
洮	6D2E
洵	6D35
洚	6D1A
瀏	700F
滸	6EF8
潯	6F6F
洳	6D33
涑	6D91
浯	6D6F
淶	6DF6
潿	6F7F
浞	6D5E
涓	6D93
涔	6D94
浜	6D5C
浠	6D60
浼	6D7C
浣	6D63
渚	6E1A
淇	6DC7
淅	6DC5
淞	6DDE
瀆	7006
涿	6DBF
淠	6DE0
澠	6FA0
淦	6DE6
淝	6DDD
淙	6DD9
瀋	700B
涫	6DAB
渌	6E0C
涮	6DAE
渫	6E2B
湮	6E6E
湎	6E4E
湫	6E6B
溲	6EB2
湟	6E5F
溆	6E86
湓	6E53
湔	6E54
渲	6E32
渥	6E25
湄	6E44
灧	7067
溱	6EB1
溘	6E98
灄	7044
漭	6F2D
瀅	7005
溥	6EA5
溧	6EA7
溽	6EBD
溻	6EBB
溷	6EB7
潷	6F77
溴	6EB4
滏	6ECF
溏	6E8F
滂	6EC2
溟	6E9F
潢	6F62
瀠	7020
瀟	701F
漤	6F24
漕	6F15
滹	6EF9
漯	6F2F
漶	6F36
瀲	7032
潴	6F74
漪	6F2A
漉	6F09
漩	6F29
澉	6F89
澍	6F8D
澌	6F8C
潸	6F78
潲	6F72
潼	6F7C
潺	6F7A
瀨	7028
濉	6FC9
澧	6FA7
澹	6FB9
澶	6FB6
濂	6FC2
濡	6FE1
濮	6FEE
濞	6FDE
濠	6FE0
濯	6FEF
瀚	701A
瀣	7023
瀛	701B
瀹	7039
瀵	7035
灝	705D
灞	705E
宀	5B80
宄	5B84
宕	5B95
宓	5B93
宥	5BA5
宸	5BB8
甯	752F
騫	9A2B
搴	6434
寤	5BE4
寮	5BEE
褰	8930
寰	5BF0
蹇	8E47
謇	8B07
辶	8FB6
迓	8FD3
迕	8FD5
迥	8FE5
迮	8FEE
迤	8FE4
邇	9087
迦	8FE6
逕	9015
迨	8FE8
逅	9005
逄	9004
逋	900B
邐	9090
逑	9011
逍	900D
逖	9016
逡	9021
逵	9035
逶	9036
逭	902D
逯	902F
遄	9044
遑	9051
遒	9052
遐	9050
遨	9068
遘	9058
遢	9062
遛	905B
暹	66B9
遴	9074
遽	907D
邂	9082
邈	9088
邃	9083
邋	908B
彐	5F50
彗	5F57
彖	5F56
彘	5F58
尻	5C3B
咫	54AB
屐	5C50
屙	5C59
孱	5B71
屣	5C63
屨	5C68
羼	7FBC
弳	5F33
弩	5F29
弭	5F2D
艴	8274
弼	5F3C
鬻	9B3B
屮	5C6E
妁	5981
妃	5983
妍	598D
嫵	5AF5
嫗	5AD7
妣	59A3
妗	5997
姊	59CA
嬀	5B00
妞	599E
妤	59A4
姒	59D2
妲	59B2
妯	59AF
姗	59D7
妾	59BE
婭	5A6D
嬈	5B08
姝	59DD
孌	5B4C
姣	59E3
姘	59D8
姹	59F9
娌	5A0C
娉	5A09
媧	5AA7
嫻	5AFB
娑	5A11
娣	5A23
娓	5A13
婀	5A40
婧	5A67
婊	5A4A
婕	5A55
娼	5A3C
婢	5A62
嬋	5B0B
胬	80EC
媪	5AAA
媛	5A9B
婷	5A77
婺	5A7A
媾	5ABE
嫫	5AEB
媲	5AB2
嬡	5B21
嬪	5B2A
媸	5AB8
嫠	5AE0
嫣	5AE3
嬙	5B19
嫖	5AD6
嫦	5AE6
嫘	5AD8
嫜	5ADC
嬉	5B09
嬗	5B17
嬖	5B16
嬲	5B32
嬷	5B37
孀	5B40
尕	5C15
尜	5C1C
孚	5B5A
孥	5B65
孳	5B73
孑	5B51
孓	5B53
孢	5B62
駔	99D4
駟	99DF
駙	99D9
騶	9A36
驛	9A5B
駑	99D1
駘	99D8
驍	9A4D
驊	9A4A
駢	99E2
驪	9A6A
騏	9A0F
騍	9A0D
騅	9A05
驂	9A42
騭	9A2D
騖	9A16
驁	9A41
騮	9A2E
騸	9A38
驃	9A43
驄	9A44
驏	9A4F
驥	9A65
驤	9A64
糹	7CF9
紆	7D06
紂	7D02
紇	7D07
紈	7D08
纊	7E8A
紜	7D1C
紕	7D15
紓	7D13
紺	7D3A
紲	7D32
紱	7D31
縐	7E10
紼	7D3C
絀	7D40
紿	7D3F
絝	7D5D
絎	7D4E
絳	7D73
綆	7D86
綃	7D83
綈	7D88
綾	7DBE
綺	7DBA
緋	7DCB
緔	7DD4
緄	7DC4
綞	7D9E
綬	7DAC
綹	7DB9
綣	7DA3
綰	7DB0
緇	7DC7
緙	7DD9
緗	7DD7
緹	7DF9
緲	7DF2
繢	7E62
緦	7DE6
緶	7DF6
緱	7DF1
縋	7E0B
緡	7DE1
縉	7E09
縝	7E1D
縟	7E1F
縞	7E1E
縭	7E2D
縊	7E0A
縑	7E11
繽	7E7D
縹	7E39
縵	7E35
縲	7E32
繆	7E46
繅	7E45
纈	7E88
繚	7E5A
繒	7E52
繮	7E6E
繾	7E7E
繰	7E70
繯	7E6F
纘	7E98
幺	5E7A
畿	757F
巛	5DDB
甾	753E
邕	9095
玎	738E
璣	74A3
瑋	744B
玢	73A2
玟	739F
珏	73CF
珂	73C2
瓏	74CF
玷	73B7
玳	73B3
珀	73C0
珉	73C9
珈	73C8
珥	73E5
珙	73D9
頊	980A
琊	740A
珩	73E9
珧	73E7
珞	73DE
璽	74BD
琿	743F
璉	7489
琪	742A
瑛	745B
琦	7426
琥	7425
琨	7428
琰	7430
琮	742E
琬	742C
琛	741B
琚	741A
瑁	7441
瑜	745C
瑗	7457
瑕	7455
瑙	7459
璦	74A6
瑭	746D
瑾	747E
璜	749C
瓔	74D4
璀	7480
璁	7481
璇	7487
璋	748B
璞	749E
璨	74A8
璩	74A9
璐	7490
璧	74A7
瓚	74DA
璺	74BA
韙	97D9
韞	97DE
韜	97DC
杌	674C
杓	6753
杞	675E
杈	6748
榪	69AA
櫪	6AEA
枇	6787
杪	676A
杳	6773
枘	6798
梘	6898
杵	6775
棖	68D6
樅	6A05
梟	689F
枋	678B
杷	6777
杼	677C
柰	67F0
櫛	6ADB
柘	67D8
櫳	6AF3
柩	67E9
枰	67B0
櫨	6AE8
柙	67D9
枵	67B5
柚	67DA
枳	67B3
柝	67DD
栀	6800
柃	67C3
枸	67B8
柢	67E2
櫟	6ADF
柁	67C1
檉	6A89
栲	6832
栳	6833
椏	690F
橈	6A48
桎	684E
楨	6968
桄	6844
榿	69BF
梃	6883
栝	681D
桕	6855
樺	6A3A
桁	6841
檜	6A9C
桀	6840
欒	6B12
桊	684A
桉	6849
栩	6829
梵	68B5
梏	688F
桴	6874
桷	6877
梓	6893
桫	686B
欞	6B1E
楮	696E
棼	68FC
櫝	6ADD
槧	69E7
棹	68F9
欏	6B0F
棰	68F0
椋	690B
椁	6901
楗	6957
棣	68E3
椐	6910
楱	6971
椹	6939
楠	6960
楂	6942
楝	695D
欖	6B16
楫	696B
榀	6980
榘	6998
楸	6978
椴	6934
槌	69CC
櫬	6AEC
櫚	6ADA
槎	69CE
櫸	6AF8
楦	6966
楣	6963
楹	6979
榛	699B
榧	69A7
榻	69BB
榫	69AB
榭	69AD
槔	69D4
榱	69B1
槁	69C1
槊	69CA
檳	6AB3
榕	6995
櫧	6AE7
榍	698D
槿	69FF
檣	6AA3
槭	69ED
樗	6A17
樘	6A18
橥	6A65
槲	69F2
橄	6A44
樾	6A3E
檠	6AA0
橐	6A50
橛	6A5B
樵	6A35
檎	6A8E
櫓	6AD3
樽	6A3D
樨	6A28
橘	6A58
櫞	6ADE
檑	6A91
檐	6A90
檩	6AA9
檗	6A97
檫	6AAB
猷	7337
獒	7352
殁	6B81
殂	6B82
殤	6BA4
殄	6B84
殞	6B9E
殮	6BAE
殍	6B8D
殫	6BAB
殛	6B9B
殯	6BAF
殪	6BAA
軔	8ED4
軛	8EDB
軲	8EF2
軻	8EFB
轤	8F64
軹	8EF9
軼	8EFC
軫	8EEB
軤	8EE4
轢	8F62
軺	8EFA
軾	8EFE
輊	8F0A
輇	8F07
輅	8F05
輒	8F12
輦	8F26
輞	8F1E
輟	8F1F
輜	8F1C
輳	8F33
轆	8F46
轔	8F54
軎	8ECE
戔	6214
戧	6227
戛	621B
戟	621F
戢	6222
戡	6221
戥	6225
戤	6224
戬	622C
臧	81E7
甌	750C
瓴	74F4
瓿	74FF
甏	750F
甑	7511
甓	7513
攴	6534
旮	65EE
旯	65EF
旰	65F0
昊	660A
曇	66C7
杲	6772
昃	6603
昕	6615
昀	6600
炅	7085
曷	66F7
昝	661D
昴	6634
昱	6631
昶	6636
昵	6635
耆	8006
晟	665F
曄	66C4
晁	6641
晏	664F
暉	6689
晡	6661
晗	6657
晷	6677
暄	6684
暌	668C
曖	66D6
暝	669D
暾	66BE
曛	66DB
曜	66DC
曦	66E6
曩	66E9
賁	8CC1
貰	8CB0
貺	8CBA
貽	8CBD
贄	8D04
貲	8CB2
賅	8CC5
贐	8D10
賑	8CD1
賚	8CDA
賕	8CD5
賫	8CEB
賧	8CE7
賻	8CFB
覘	8998
覬	89AC
覡	89A1
覿	89BF
覦	89A6
覯	89AF
覲	89B2
覷	89B7
牮	726E
犟	729F
牝	725D
牦	7266
牯	726F
牾	727E
牿	727F
犄	7284
犋	728B
犍	728D
犏	728F
犒	7292
挈	6308
挲	6332
掰	63B0
搿	643F
擘	64D8
耄	8004
毪	6BEA
毳	6BF3
毽	6BFD
毿	6BFF
毹	6BF9
氅	6C05
氌	6C0C
氆	6C06
氍	6C0D
氕	6C15
氘	6C18
氙	6C19
氚	6C1A
氡	6C21
氬	6C2C
氤	6C24
氪	6C2A
氲	6C32
攵	6535
敕	6555
敫	656B
牘	7258
牒	7252
牖	7256
爰	7230
虢	8662
刖	5216
肟	809F
肜	809C
肓	8093
肼	80BC
朊	670A
肽	80BD
肱	80B1
肫	80AB
肭	80AD
肴	80B4
肷	80B7
朧	6727
腖	8156
胩	80E9
臚	81DA
胛	80DB
胂	80C2
胄	80C4
胙	80D9
胍	80CD
胗	80D7
朐	6710
胝	80DD
脛	811B
胱	80F1
胴	80F4
胭	80ED
膾	81BE
脎	810E
胲	80F2
胼	80FC
朕	6715
脒	8112
豚	8C5A
腡	8161
脞	811E
脬	812C
脘	8118
脲	8132
腈	8148
腌	814C
腓	8153
腴	8174
腙	8159
腚	815A
腱	8171
腠	8160
腩	8169
腼	817C
腽	817D
腭	816D
腧	8167
塍	584D
媵	5AB5
膈	8188
膂	8182
臏	81CF
滕	6ED5
膣	81A3
膪	81AA
臌	81CC
朦	6726
臊	81CA
膻	81BB
臁	81C1
膦	81A6
歟	6B5F
欷	6B37
欹	6B39
歃	6B43
歆	6B46
歙	6B59
颮	98AE
颯	98AF
颶	98B6
颼	98BC
飆	98C6
飈	98C8
殳	6BB3
彀	5F40
轂	8F42
觳	89F3
斐	6590
齏	9F4F
斕	6595
於	65BC
旆	65C6
旄	65C4
旃	65C3
旌	65CC
旎	65CE
旒	65D2
旖	65D6
煬	716C
煒	7152
炖	7096
熗	7197
炻	70BB
烀	70C0
炷	70B7
炫	70AB
炱	70B1
燁	71C1
烊	70CA
焐	7110
焓	7113
燜	71DC
焯	712F
焱	7131
煳	7173
煜	715C
煨	7168
煅	7145
煲	7172
煊	714A
煸	7178
煺	717A
熘	7198
熳	71B3
熵	71B5
熨	71A8
熠	71A0
燠	71E0
燔	71D4
燧	71E7
燹	71F9
爝	721D
爨	7228
灬	706C
燾	71FE
煦	7166
熹	71B9
戾	623E
戽	623D
扃	6243
扈	6248
扉	6249
礻	793B
祀	7940
祆	7946
祉	7949
祛	795B
祜	795C
祓	7953
祚	795A
禰	79B0
祗	7957
祠	7960
禎	798E
祧	7967
祺	797A
禪	79AA
禊	798A
禚	799A
禧	79A7
禳	79B3
忑	5FD1
忐	5FD0
懟	61DF
恝	605D
恚	605A
恧	6067
恁	6041
恙	6059
恣	6063
慤	6164
愆	6106
愍	610D
慝	615D
憩	61A9
憝	619D
懋	61CB
懣	61E3
戇	6207
肀	8080
聿	807F
沓	6C93
澩	6FA9
淼	6DFC
磯	78EF
矸	77F8
碭	78AD
砉	7809
硨	7868
砘	7818
砑	7811
斫	65AB
砭	782D
碸	78B8
砝	781D
砹	7839
礪	792A
礱	7931
砟	781F
砼	783C
砥	7825
砬	782C
砣	7823
砩	7829
硎	784E
硭	786D
硤	7864
磽	78FD
砦	7826
硐	7850
硇	7847
硌	784C
硪	786A
磧	78E7
碓	7893
碚	789A
碇	7887
磣	78E3
碡	78A1
碣	78A3
碲	78B2
碹	78B9
碥	78A5
磔	78D4
磙	78D9
磉	78C9
磬	78EC
磲	78F2
礅	7905
磴	78F4
礓	7913
礤	7924
礞	791E
礴	7934
龕	9F95
黹	9EF9
黻	9EFB
黼	9EFC
盱	76F1
眄	7704
瞘	7798
盹	76F9
眇	7707
眈	7708
眚	771A
眢	7722
眙	7719
眭	772D
眦	7726
眵	7735
眸	7738
睞	775E
瞼	77BC
睇	7747
睃	7743
睚	775A
睨	7768
睢	7762
睥	7765
睿	777F
瞍	778D
睽	777D
瞀	7780
瞌	778C
瞑	7791
瞟	779F
瞠	77A0
瞰	77B0
瞵	77B5
瞽	77BD
町	753A
畀	7540
畎	754E
畋	754B
畈	7548
畛	755B
畲	7572
畹	7579
疃	7583
罘	7F58
罡	7F61
罟	7F5F
詈	8A48
罨	7F68
羆	7F86
罱	7F71
罹	7F79
羈	7F88
罾	7F7E
盍	76CD
盥	76E5
蠲	8832
釒	91D2
釓	91D3
釔	91D4
釙	91D9
釗	91D7
釕	91D5
釷	91F7
釧	91E7
釤	91E4
鍆	9346
釵	91F5
釹	91F9
鈈	9208
鈦	9226
鉅	9245
鈑	9211
鈐	9210
鈁	9201
鈧	9227
鈄	9204
鈥	9225
鈀	9200
鈺	923A
鉦	9266
鈷	9237
鈳	9233
鉕	9255
鈽	923D
鈸	9238
鉞	925E
鉬	926C
鉭	926D
鈿	923F
鑠	9460
鈰	9230
鉉	9249
鉈	9248
鉍	924D
鈮	922E
鈹	9239
鐸	9438
銬	92AC
銠	92A0
鉺	927A
銪	92AA
鋮	92EE
鋏	92CF
鐃	9403
鋣	92E3
鐺	943A
銱	92B1
銦	92A6
鎧	93A7
銖	9296
鋌	92CC
銩	92A9
鏵	93F5
銓	9293
鉿	927F
鎩	93A9
銚	929A
錚	931A
銫	92AB
銃	9283
鐋	940B
銨	92A8
銣	92A3
鐒	9412
錸	9338
鋱	92F1
鏗	93D7
鋥	92E5
鋰	92F0
鋯	92EF
鋨	92E8
銼	92BC
鋝	92DD
鋶	92F6
鐦	9426
鐧	9427
鋃	92C3
鋟	92DF
鋦	92E6
錒	9312
錆	9306
鍩	9369
錛	931B
鍀	9340
錁	9301
錕	9315
錮	932E
鍃	9343
錇	9307
錈	9308
錟	931F
錙	9319
鍥	9365
鍇	9347
鍶	9376
鍔	9354
鍤	9364
鎪	93AA
鍰	9370
鎄	9384
鏤	93E4
鏘	93D8
鐨	9428
鎇	9387
鏌	93CC
鎘	9398
鎸	93B8
鎿	93BF
鎦	93A6
鎰	93B0
鎵	93B5
鑌	944C
鏢	93E2
鏜	93DC
鏝	93DD
鏍	93CD
鏞	93DE
鏃	93C3
鏇	93C7
鏑	93D1
鐔	9414
鐝	941D
鏷	93F7
鑥	9465
鐓	9413
鑭	946D
鐠	9420
鑹	9479
鏹	93F9
鐙	9419
鑊	944A
鐲	9432
鐿	943F
鑔	9454
鑣	9463
鍾	937E
矧	77E7
矬	77EC
雉	96C9
秕	79D5
秭	79ED
秣	79E3
秫	79EB
稆	7A06
嵇	5D47
稃	7A03
稂	7A02
稞	7A1E
稔	7A14
稹	7A39
稷	7A37
穡	7A61
黏	9ECF
馥	99A5
穰	7A70
皈	7688
皎	768E
皓	7693
皙	7699
皤	76A4
瓞	74DE
瓠	74E0
甬	752C
鳩	9CE9
鳶	9CF6
鴇	9D07
鴆	9D06
鴣	9D23
鶇	9D87
鸕	9E15
鴝	9D1D
鴟	9D1F
鷥	9DE5
鴯	9D2F
鷙	9DD9
鴰	9D30
鵂	9D42
鸞	9E1E
鵓	9D53
鸝	9E1D
鵠	9D60
鵒	9D52
鷳	9DF3
鵜	9D5C
鵡	9D61
鶓	9D93
鵪	9D6A
鵯	9D6F
鶉	9D89
鶘	9D98
鶚	9D9A
鷀	9DC0
鶥	9DA5
鶩	9DA9
鷂	9DC2
鶼	9DBC
鸚	9E1A
鷓	9DD3
鷚	9DDA
鷯	9DEF
鷦	9DE6
鷲	9DF2
鷸	9DF8
鸌	9E0C
鷺	9DFA
鸛	9E1B
疒	7592
疔	7594
癤	7664
癘	7658
疝	759D
癧	7667
疣	75A3
疳	75B3
疴	75B4
疸	75B8
痄	75C4
疱	75B1
疰	75B0
痃	75C3
痂	75C2
瘂	7602
痍	75CD
痣	75E3
癆	7646
痦	75E6
痤	75E4
癇	7647
痧	75E7
瘃	7603
痱	75F1
痼	75FC
痿	75FF
瘐	7610
瘀	7600
癉	7649
瘌	760C
瘞	761E
瘊	760A
瘥	7625
瘻	763B
瘕	7615
瘙	7619
瘛	761B
瘼	763C
瘢	7622
瘠	7620
癀	7640
瘭	762D
瘰	7630
癭	766D
瘵	7635
癃	7643
癮	766E
瘳	7633
癍	764D
癩	7669
癔	7654
癜	765C
癖	7656
癲	7672
癯	766F
翊	7FCA
竦	7AE6
穸	7A78
穹	7A79
窀	7A80
窆	7A86
窈	7A88
窕	7A95
竇	7AC7
窠	7AA0
窬	7AAC
窨	7AA8
窶	7AB6
窳	7AB3
衤	8864
衩	8869
衲	8872
衽	887D
衿	887F
袂	8882
袢	88A2
襠	8960
袷	88B7
袼	88BC
裉	88C9
褳	8933
裎	88CE
襝	895D
襇	8947
裱	88F1
褚	891A
裼	88FC
裨	88E8
裾	88FE
裰	88F0
褡	8921
褙	8919
褓	8913
褸	8938
褊	890A
襤	8964
褫	892B
褶	8936
襁	8941
襦	8966
襻	897B
疋	758B
胥	80E5
皸	76B8
皴	76B4
矜	77DC
耒	8012
耔	8014
耖	8016
耜	801C
耠	8020
耮	802E
耥	8025
耦	8026
