#汉字	Unicode
苟	82DF
狗	72D7
垢	57A2
構	69CB
購	8CFC
够	591F
辜	8F9C
菇	83C7
咕	5495
箍	7B8D
估	4F30
沽	6CBD
孤	5B64
姑	59D1
鼓	9F13
古	53E4
蠱	8831
骨	9AA8
谷	8C37
股	80A1
故	6545
顧	9867
固	56FA
雇	96C7
刮	522E
瓜	74DC
剮	526E
寡	5BE1
挂	6302
褂	8902
乖	4E56
拐	62D0
怪	602A
棺	68FA
關	95DC
官	5B98
冠	51A0
觀	89C0
管	7BA1
館	9928
罐	7F50
慣	6163
灌	704C
貫	8CAB
光	5149
廣	5EE3
逛	901B
瑰	7470
規	898F
圭	572D
硅	7845
歸	6B78
龜	9F9C
閨	95A8
軌	8ECC
鬼	9B3C
詭	8A6D
癸	7678
桂	6842
櫃	6AC3
跪	8DEA
貴	8CB4
劊	528A
輥	8F25
滚	6EDA
棍	68CD
鍋	934B
郭	90ED
國	570B
果	679C
裹	88F9
過	904E
哈	54C8
骸	9AB8
孩	5B69
海	6D77
氦	6C26
亥	4EA5
害	5BB3
駭	99ED
酣	9163
憨	61A8
邯	90AF
韓	97D3
含	542B
涵	6DB5
寒	5BD2
函	51FD
喊	558A
罕	7F55
翰	7FF0
撼	64BC
捍	634D
旱	65F1
憾	61BE
悍	608D
焊	710A
汗	6C57
漢	6F22
夯	592F
杭	676D
航	822A
壕	58D5
嚎	568E
豪	8C6A
毫	6BEB
郝	90DD
好	597D
耗	8017
號	865F
浩	6D69
呵	5475
喝	559D
荷	8377
菏	83CF
核	6838
禾	79BE
和	548C
何	4F55
合	5408
盒	76D2
貉	8C89
閡	95A1
河	6CB3
涸	6DB8
赫	8D6B
褐	8910
鶴	9DB4
賀	8CC0
嘿	563F
黑	9ED1
痕	75D5
很	5F88
狠	72E0
恨	6068
哼	54FC
亨	4EA8
横	6A2A
衡	8861
恒	6052
轟	8F5F
哄	54C4
烘	70D8
虹	8679
鴻	9D3B
洪	6D2A
宏	5B8F
弘	5F18
紅	7D05
喉	5589
侯	4FAF
猴	7334
吼	543C
厚	539A
候	5019
後	5F8C
呼	547C
乎	4E4E
忽	5FFD
瑚	745A
壺	58FA
葫	846B
胡	80E1
蝴	8774
狐	72D0
糊	7CCA
湖	6E56
弧	5F27
虎	864E
唬	552C
護	8B77
互	4E92
滬	6EEC
户	6237
花	82B1
嘩	5629
華	83EF
猾	733E
滑	6ED1
畫	756B
劃	5283
化	5316
話	8A71
槐	69D0
徊	5F8A
懷	61F7
淮	6DEE
壞	58DE
歡	6B61
環	74B0
桓	6853
還	9084
緩	7DE9
换	6362
患	60A3
唤	5524
痪	75EA
豢	8C62
焕	7115
涣	6DA3
宦	5BA6
幻	5E7B
荒	8352
慌	614C
黄	9EC4
磺	78FA
蝗	8757
簧	7C27
皇	7687
凰	51F0
惶	60F6
煌	714C
晃	6643
幌	5E4C
恍	604D
謊	8B0A
灰	7070
揮	63EE
輝	8F1D
徽	5FBD
恢	6062
蛔	86D4
回	56DE
毁	6BC1
悔	6094
慧	6167
卉	5349
惠	60E0
晦	6666
賄	8CC4
穢	7A62
會	6703
燴	71F4
匯	532F
諱	8AF1
誨	8AA8
繪	7E6A
葷	8477
昏	660F
婚	5A5A
魂	9B42
渾	6E3E
混	6DF7
豁	8C41
活	6D3B
伙	4F19
火	706B
獲	7372
或	6216
惑	60D1
霍	970D
貨	8CA8
禍	798D
擊	64CA
圾	573E
基	57FA
機	6A5F
畸	7578
稽	7A3D
積	7A4D
箕	7B95
肌	808C
饑	9951
迹	8FF9
激	6FC0
譏	8B4F
鷄	9DC4
姬	59EC
績	7E3E
緝	7DDD
吉	5409
極	6975
棘	68D8
輯	8F2F
籍	7C4D
集	96C6
及	53CA
急	6025
疾	75BE
汲	6C72
即	5373
嫉	5AC9
級	7D1A
擠	64E0
幾	5E7E
脊	810A
己	5DF1
薊	858A
技	6280
冀	5180
季	5B63
伎	4F0E
祭	796D
劑	5291
悸	60B8
濟	6FDF
寄	5BC4
寂	5BC2
計	8A08
記	8A18
既	65E2
忌	5FCC
際	969B
妓	5993
繼	7E7C
紀	7D00
嘉	5609
枷	67B7
夾	593E
佳	4F73
家	5BB6
加	52A0
莢	83A2
頰	9830
賈	8CC8
甲	7532
鉀	9240
假	5047
稼	7A3C
價	50F9
架	67B6
駕	99D5
嫁	5AC1
殲	6BB2
監	76E3
堅	5805
尖	5C16
箋	7B8B
間	9593
煎	714E
兼	517C
肩	80A9
艱	8271
奸	5978
緘	7DD8
繭	7E6D
檢	6AA2
柬	67EC
碱	78B1
鹼	9E7C
揀	63C0
撿	64BF
簡	7C21
儉	5109
剪	526A
减	51CF
薦	85A6
檻	6ABB
鑒	9452
踐	8E10
賤	8CE4
見	898B
鍵	9375
箭	7BAD
件	4EF6
健	5065
艦	8266
劍	528D
餞	991E
漸	6F38
濺	6FFA
澗	6F97
建	5EFA
僵	50F5
姜	59DC
將	5C07
漿	6F3F
江	6C5F
疆	7586
蔣	8523
槳	69F3
奬	596C
講	8B1B
匠	5320
醬	91AC
降	964D
蕉	8549
椒	6912
礁	7901
焦	7126
膠	81A0
交	4EA4
郊	90CA
澆	6F86
驕	9A55
嬌	5B0C
嚼	56BC
攪	652A
鉸	9278
矯	77EF
僥	50E5
脚	811A
狡	72E1
角	89D2
餃	9903
繳	7E73
絞	7D5E
剿	527F
教	6559
酵	9175
轎	8F4E
較	8F03
叫	53EB
窖	7A96
揭	63ED
接	63A5
皆	7686
秸	79F8
街	8857
階	968E
截	622A
劫	52AB
節	7BC0
桔	6854
杰	6770
捷	6377
睫	776B
竭	7AED
潔	6F54
結	7D50
解	89E3
姐	59D0
戒	6212
藉	85C9
芥	82A5
界	754C
借	501F
介	4ECB
疥	75A5
誡	8AA1
届	5C4A
巾	5DFE
筋	7B4B
斤	65A4
金	91D1
今	4ECA
津	6D25
襟	895F
緊	7DCA
錦	9326
僅	50C5
謹	8B39
進	9032
靳	9773
晋	664B
禁	7981
近	8FD1
燼	71FC
浸	6D78
盡	76E1
勁	52C1
荆	8346
兢	5162
莖	8396
睛	775B
晶	6676
鯨	9BE8
京	4EAC
驚	9A5A
精	7CBE
粳	7CB3
經	7D93
井	4E95
警	8B66
景	666F
頸	9838
静	9759
境	5883
敬	656C
鏡	93E1
徑	5F91
痙	75D9
靖	9756
竟	7ADF
競	7AF6
净	51C0
炯	70AF
窘	7A98
揪	63EA
究	7A76
糾	7CFE
玖	7396
韭	97ED
久	4E45
灸	7078
九	4E5D
酒	9152
厩	53A9
救	6551
舊	820A
臼	81FC
舅	8205
咎	548E
就	5C31
疚	759A
鞠	97A0
拘	62D8
狙	72D9
疽	75BD
居	5C45
駒	99D2
菊	83CA
局	5C40
咀	5480
矩	77E9
舉	8209
沮	6CAE
聚	805A
拒	62D2
據	64DA
巨	5DE8
具	5177
距	8DDD
踞	8E1E
鋸	92F8
俱	4FF1
句	53E5
懼	61FC
炬	70AC
劇	5287
捐	6350
鵑	9D51
娟	5A1F
倦	5026
眷	7737
卷	5377
絹	7D79
撅	6485
攫	652B
抉	6289
掘	6398
倔	5014
爵	7235
覺	89BA
决	51B3
訣	8A23
絶	7D76
均	5747
菌	83CC
鈞	921E
軍	8ECD
君	541B
峻	5CFB
俊	4FCA
竣	7AE3
浚	6D5A
郡	90E1
駿	99FF
喀	5580
咖	5496
卡	5361
咯	54AF
開	958B
揩	63E9
楷	6977
凱	51F1
慨	6168
刊	520A
堪	582A
勘	52D8
坎	574E
砍	780D
看	770B
康	5EB7
慷	6177
糠	7CE0
扛	625B
抗	6297
亢	4EA2
炕	7095
考	8003
拷	62F7
烤	70E4
靠	9760
坷	5777
苛	82DB
柯	67EF
棵	68F5
磕	78D5
顆	9846
科	79D1
殻	6BBB
咳	54B3
可	53EF
渴	6E34
克	514B
刻	523B
客	5BA2
